Tempo	Ddp	err V	err tempo
mu s	mV	mV	
$\pm 8$	$\pm 16$		
0	0	80	0.4
2.6	2560	80	0.4
4.6	4640	80	0.4
9	7440	80	0.4
14.6	8960	80	0.4
28.4	9760	80	0.4
43	9520	80	2
65	9120	80	2
89	8640	80	2
115	8080	80	2
180	7040	80	2
226	6320	80	2
340	4880	80	4
440	3920	80	4
680	2240	80	8
880	1440	80	8
1120	880	80	20
1870	240	80	20
