Tempo	Ddp	err V	err tempo
mu s	mV	mV	
$\pm 8$	$\pm 16$		
0	0	0	0
40	480	16	8
84	728	16	8
120	600	16	8
160	224	16	8
180	0	16	8
200	-200	16	8
220	-400	16	8
264	-560	16	8
300	-432	16	8
340	-144	16	8
356	0	16	8
380	176	16	8
412	352	16	8
444	416	16	8
476	352	16	8
504	200	16	8
532	0	16	8
620	-320	16	8
716	0	16	8
796	240	16	8
972	-184	16	8
1150	144	16	20
1330	-104	16	20
1500	88	16	20
