1	15.00	0.5	0.30
2	14.40	0.5	0.30
3	12.60	0.5	0.30
4	11.55	0.5	0.30
5	10.80	0.5	0.30
6	9.60	0.5	0.30
7	9.00	0.5	0.30
8	8.10	0.5	0.30
9	8.40	0.5	0.30
10	7.20	0.5	0.30
11	6.60	0.5	0.30
12	6.00	0.5	0.30
13	5.70	0.5	0.30
14	4.80	0.5	0.30
15	3.00	0.5	0.30
16	1.70	0.5	0.10
17	2.00	0.5	0.10
18	3.10	0.5	0.10
19	3.00	0.5	0.10
20	1.23	0.5	0.03
21	0.60	0.5	0.03
22	2.30	0.5	0.10
23	2.4	0.5	0.10
24	1.00	0.5	0.10
25	4.00	0.5	0.10
26	5.6	0.5	0.10
27	5.80	0.5	0.10
28	5.00	0.5	0.10
29	5.00	0.5	0.10
30	6.10	0.5	0.10
31	7.70	0.5	0.10
32	7.40	0.5	0.10
33	5.90	0.5	0.10
34	6.30	0.5	0.10
35	5.80	0.5	0.10
36	5.9	0.5	0.10
37	4.5	0.5	0.10
38	3.00	0.5	0.10
39	2.10	0.5	0.10
40	1.80	0.5	0.10
41	1.70	0.5	0.10
42	1.60	0.5	0.10
43	1.11	0.5	0.03
44	0.36	0.5	0.03
45	0.11	0.5	0.01
